[INFO] ¡Se encontraron 1 videos para procesar en local!

=======================================================
[INFO] INICIANDO PROCESAMIENTO NATURAL/ESTÁTICO: paper
=======================================================

--- FASE 1: EXTRACCIÓN ---
[INFO] Se extrajeron 240 fotogramas.

--- FASE 2: PROCESAMIENTO MATEMÁTICO (FOTOGRAMA A FOTOGRAMA) ---
[frame_0137.png] Procesado en: 5.2568s
[frame_0138.png] Procesado en: 5.5379s
[frame_0139.png] Procesado en: 5.8278s
[frame_0140.png] Procesado en: 5.2604s
[frame_0141.png] Procesado en: 5.3655s
[frame_0142.png] Procesado en: 5.2890s
[frame_0143.png] Procesado en: 5.5135s
[frame_0144.png] Procesado en: 6.1161s
[frame_0145.png] Procesado en: 5.5999s
[frame_0146.png] Procesado en: 5.7965s
[frame_0147.png] Procesado en: 6.1438s
[frame_0148.png] Procesado en: 7.6464s
[frame_0149.png] Procesado en: 8.0625s
[frame_0150.png] Procesado en: 9.0340s
[frame_0151.png] Procesado en: 9.2592s
[frame_0152.png] Procesado en: 8.1885s
[frame_0153.png] Procesado en: 5.1094s
[frame_0154.png] Procesado en: 5.0234s
[frame_0155.png] Procesado en: 4.8314s
[frame_0156.png] Procesado en: 5.2773s
[frame_0157.png] Procesado en: 4.7187s
[frame_0158.png] Procesado en: 5.6915s
[frame_0159.png] Procesado en: 5.1248s
[frame_0160.png] Procesado en: 5.8067s
[frame_0161.png] Procesado en: 5.4457s
[frame_0162.png] Procesado en: 5.6857s
[frame_0163.png] Procesado en: 5.5509s
[frame_0164.png] Procesado en: 4.9987s
[frame_0165.png] Procesado en: 5.1061s
[frame_0166.png] Procesado en: 4.9571s
[frame_0167.png] Procesado en: 5.0822s
[frame_0168.png] Procesado en: 5.2759s
[frame_0169.png] Procesado en: 4.8793s
[frame_0170.png] Procesado en: 5.4275s
[frame_0171.png] Procesado en: 5.1261s
[frame_0172.png] Procesado en: 7.0576s
[frame_0173.png] Procesado en: 5.7876s
[frame_0174.png] Procesado en: 4.9618s
[frame_0175.png] Procesado en: 4.6928s
[frame_0176.png] Procesado en: 4.8123s
[frame_0177.png] Procesado en: 4.7488s
[frame_0178.png] Procesado en: 4.7283s
[frame_0179.png] Procesado en: 5.0763s
[frame_0180.png] Procesado en: 4.6742s
[frame_0181.png] Procesado en: 4.6911s
[frame_0182.png] Procesado en: 4.6843s
[frame_0183.png] Procesado en: 4.7148s
[frame_0184.png] Procesado en: 6.6115s
[frame_0185.png] Procesado en: 5.4139s
[frame_0186.png] Procesado en: 5.7553s
[frame_0187.png] Procesado en: 4.9668s
[frame_0188.png] Procesado en: 4.8070s
[frame_0189.png] Procesado en: 5.7603s
[frame_0190.png] Procesado en: 4.8758s
[frame_0191.png] Procesado en: 4.9835s
[frame_0192.png] Procesado en: 4.8071s
[frame_0193.png] Procesado en: 4.8806s
[frame_0194.png] Procesado en: 4.9683s
[frame_0195.png] Procesado en: 4.8187s
[frame_0196.png] Procesado en: 4.8854s
[frame_0197.png] Procesado en: 4.9638s
[frame_0198.png] Procesado en: 5.9024s
[frame_0199.png] Procesado en: 7.2389s
[frame_0200.png] Procesado en: 8.6606s
[frame_0201.png] Procesado en: 5.0358s
[frame_0202.png] Procesado en: 5.5027s
[frame_0203.png] Procesado en: 7.5311s
