[INFO] ¡Se encontraron 1 videos para procesar en local!

=======================================================
[INFO] INICIANDO PROCESAMIENTO: paper
=======================================================

--- FASE 1: EXTRACCIÓN ---
[INFO] Se extrajeron 240 fotogramas.

--- FASE 2: PROCESAMIENTO MATEMÁTICO (DINÁMICO) ---
Inicializando red memristiva para resolución 1280x720...
[frame_0137.png] Procesado en: 6.3940s
[frame_0138.png] Procesado en: 5.5861s
[frame_0139.png] Procesado en: 7.0282s
[frame_0140.png] Procesado en: 5.4851s
[frame_0141.png] Procesado en: 7.7849s
[frame_0142.png] Procesado en: 5.1604s
[frame_0143.png] Procesado en: 8.3378s
[frame_0144.png] Procesado en: 5.8344s
[frame_0145.png] Procesado en: 4.8837s
[frame_0146.png] Procesado en: 4.9066s
[frame_0147.png] Procesado en: 5.1170s
[frame_0148.png] Procesado en: 5.4741s
[frame_0149.png] Procesado en: 5.1295s
[frame_0150.png] Procesado en: 5.2119s
[frame_0151.png] Procesado en: 4.8589s
[frame_0152.png] Procesado en: 4.8849s
[frame_0153.png] Procesado en: 5.8222s
[frame_0154.png] Procesado en: 6.1951s
[frame_0155.png] Procesado en: 6.1247s
[frame_0156.png] Procesado en: 6.7569s
[frame_0157.png] Procesado en: 5.7749s
[frame_0158.png] Procesado en: 6.0441s
[frame_0159.png] Procesado en: 5.2509s
[frame_0160.png] Procesado en: 5.1308s
[frame_0161.png] Procesado en: 6.8429s
[frame_0162.png] Procesado en: 6.7044s
[frame_0163.png] Procesado en: 6.1419s
[frame_0164.png] Procesado en: 6.9370s
[frame_0165.png] Procesado en: 5.9339s
[frame_0166.png] Procesado en: 5.8177s
[frame_0167.png] Procesado en: 6.2947s
[frame_0168.png] Procesado en: 5.7291s
[frame_0169.png] Procesado en: 6.1577s
[frame_0170.png] Procesado en: 5.7756s
[frame_0171.png] Procesado en: 6.0540s
[frame_0172.png] Procesado en: 6.6585s
[frame_0173.png] Procesado en: 6.6599s
[frame_0174.png] Procesado en: 5.0252s
[frame_0175.png] Procesado en: 4.9670s
[frame_0176.png] Procesado en: 4.9733s
[frame_0177.png] Procesado en: 5.2695s
[frame_0178.png] Procesado en: 6.4013s
[frame_0179.png] Procesado en: 5.7092s
[frame_0180.png] Procesado en: 5.6200s
[frame_0181.png] Procesado en: 5.9790s
[frame_0182.png] Procesado en: 6.1074s
[frame_0183.png] Procesado en: 6.6336s
[frame_0184.png] Procesado en: 5.5049s
[frame_0185.png] Procesado en: 4.9638s
[frame_0186.png] Procesado en: 5.5913s
[frame_0187.png] Procesado en: 5.4361s
[frame_0188.png] Procesado en: 5.8978s
[frame_0189.png] Procesado en: 6.8027s
[frame_0190.png] Procesado en: 6.9048s
